epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9098926186561584,0.9785768985748291,9.999999747378752e-06,0.2527093291282654,0.9849045872688293,0.8923870921134949,0.875,1.0,0.2299218326807022,1.0,0.75
1,0.9334739446640015,0.9843310117721558,9.999999747378752e-06,0.217160165309906,0.9872928261756897,0.9223225712776184,1.0,1.0,0.1806374490261078,1.0,1.0
2,0.943443238735199,0.9869966506958008,9.999999747378752e-06,0.1952827274799347,0.9885371327400208,0.9347096681594849,1.0,1.0,0.17080256342887878,1.0,1.0
3,0.956863522529602,0.9895131587982178,9.999999747378752e-06,0.17466163635253906,0.9900644421577454,0.9514838457107544,1.0,1.0,0.1556936502456665,1.0,1.0
4,0.9576303958892822,0.9934134483337402,9.999999747378752e-06,0.15902619063854218,0.9895498156547546,0.9530322551727295,1.0,1.0,0.14843392372131348,1.0,1.0
5,0.9597392678260803,0.9918827414512634,9.999999747378752e-06,0.15623125433921814,0.9901043176651001,0.9553548097610474,1.0,1.0,0.13924506306648254,1.0,1.0
6,0.9651073813438416,0.9946563243865967,9.999999747378752e-06,0.142939954996109,0.9930574297904968,0.9597419500350952,1.0,1.0,0.11963561177253723,1.0,1.0
